PCODE,SUBURB,WEEK,CASES,CUMU_CASES,IR_10000,CumuIR_10000,ppltn_2022
HS00020,Glenview 4,20,0,1,0,2.23015165,4484
HS00021,Old Highfield,20,0,0,0,0,13928
HS00022,Western Triangle,20,0,0,0,0,5632
HS00024,Highfield Engineering,20,0,0,0,0,4380
HS00025,Highfield Lusaka,20,0,0,0,0,4396
HS00026,Highfield Paradise,20,0,0,0,0,3228
HS00027,Highfield Egypt,20,0,0,0,0,5144
HS00029,Highfield New Canaan,20,0,0,0,0,8980
HS00034,Rugare,20,2,2,2.711496746,2.711496746,7376
HS00042,Kuwadzana - Ext. (phase 4),20,0,0,0,0,25140
HS00043,Kuwadzana 7,20,0,0,0,0,5712
HS00044,Kuwadzana 5,20,0,0,0,0,15700
HS00046,Kuwadzana 2,20,0,0,0,0,5416
HS00047,Kuwadzana 3,20,0,0,0,0,10324
HS00050,Crowborough North,20,0,0,0,0,12808
HS00051,Crowborough North Ext.,20,0,0,0,0,9896
HS00055,Southerton Residential,20,0,0,0,0,10552
HS00056,Warren Park D,20,0,1,0,0.659804698,15156
HS00061,Ushewokunze,20,0,0,0,0,105708
HS00064,Lochinvar,20,0,1,0,0.988142292,10120
HS00065,Mufakose,20,1,1,0.259551495,0.259551495,38528
HS00093,Borrowdale,20,2,4,1.218917601,2.437835202,16408
HS00103,Braeside,20,0,0,0,0,10692
HS00104,Caledonia,20,1,1,0.068403196,0.068403196,146192
HS00107,Chisipite,20,0,0,0,0,9640
HS00114,Dzivaresekwa 4,20,0,0,0,0,2840
HS00118,Dzivaresekwa Ext,20,1,2,0.282709488,0.565418975,35372
HS00119,Eastlea,20,0,0,0,0,10932
HS00123,Glen Lorne,20,0,0,0,0,19684
HS00124,Glenwood,20,0,1,0,2.306273063,4336
HS00137,Hatcliffe Consortium,20,0,0,0,0,29108
HS00138,Hatcliffe 1,20,0,1,0,1.03777501,9636
HS00140,Hatfield,20,0,0,0,0,38996
HS00144,Hopely,20,1,1,0.125344698,0.125344698,79780
HS00156,Monavale,20,0,0,0,0,4848
HS00157,New Mabvuku,20,0,0,0,0,26852
HS00159,Mabvuku (Undeveloped),20,0,0,0,0,40
HS00170,Mbare Ardbennie,20,0,0,0,0,7964
HS00172,Mount Pleasant,20,0,2,0,0.400608926,49924
HS00181,Mukuvisi Woodlands,20,0,0,0,0,4128
HS00182,New Settlement,20,2,2,0.857780065,0.857780065,23316
HS00188,Sunningdale,20,0,0,0,0,12200
HS00193,Tynwald,20,1,1,0.494755591,0.494755591,20212
HS00201,Waterfalls Retreat,20,1,2,0.160709694,0.321419388,62224
HS00203,Waterfalls Mainway Meadows,20,0,0,0,0,45236
HS00205,Westgate,20,1,1,1.033912324,1.033912324,9672
HS00206,Westlea,20,0,0,0,0,16660
HS00207,Southlea Park,20,0,3,0,0.33566058,89376
HS00211,Southlands,20,0,0,0,0,29732
HS00215,Mbare Magaba,20,0,0,0,0,6080
HS00216,Mbare Shawasha,20,0,0,0,0,736
HS00219,Mbare Annex,20,1,1,7.598784195,7.598784195,1316
HS00221,Mbare Matapi,20,3,8,47.46835443,126.5822785,632
HS00225,Mbare National,20,2,2,0.664187035,0.664187035,30112
HS00228,Mbare Matererini,20,2,2,76.92307692,76.92307692,260
HS00238,Epworth Zinyengere Extension,20,0,0,0,0,18520
HS00239,Epworth Glenwood,20,0,0,0,0,12700
HS00248,Manyame Park,20,0,0,0,0,40648
HS00251,Zengeza 4,20,0,0,0,0,35500
HS00299,Zengeza 3 and 5,20,0,0,0,0,36388
HS00310,Ruwa,20,0,0,0,0,164284
HS00001,Budiriro 5B Ext,21,0,0,0,0,42696
HS00002,Budiriro 1,21,26,57,10.7491318,23.56540433,24188
HS00003,Budiriro 3,21,1,9,1.118067979,10.06261181,8944
HS00004,Budiriro 2,21,1,4,0.799744082,3.198976328,12504
HS00005,Budiriro 4,21,1,3,1.055743243,3.16722973,9472
HS00006,Budiriro 5A,21,1,4,0.627982919,2.511931675,15924
HS00007,Budiriro 5B,21,3,7,1.506629168,3.515468059,19912
HS00009,Glen Norah A,21,9,11,2.837326608,3.467843632,31720
HS00011,Glen Norah C,21,1,5,1.533742331,7.668711656,6520
HS00013,Glen Norah B,21,0,1,0,0.815660685,12260
HS00014,Glenview 1,21,23,49,10.4053565,22.16793341,22104
HS00015,Glenview 8,21,19,33,10.77830724,18.72021784,17628
HS00017,Glenview 7,21,14,17,4.467134652,5.424377792,31340
HS00018,Glenview 2,21,4,8,7.836990596,15.67398119,5104
HS00019,Glenview 3,21,19,84,9.920634921,43.85964912,19152
HS00020,Glenview 4,21,1,2,2.23015165,4.460303301,4484
HS00021,Old Highfield,21,0,0,0,0,13928
HS00022,Western Triangle,21,0,0,0,0,5632
HS00024,Highfield Engineering,21,0,0,0,0,4380
HS00025,Highfield Lusaka,21,0,0,0,0,4396
HS00026,Highfield Paradise,21,1,1,3.097893432,3.097893432,3228
HS00027,Highfield Egypt,21,0,0,0,0,5144
HS00029,Highfield New Canaan,21,1,1,1.113585746,1.113585746,8980
HS00034,Rugare,21,1,3,1.355748373,4.067245119,7376
HS00042,Kuwadzana - Ext. (phase 4),21,0,0,0,0,25140
HS00043,Kuwadzana 7,21,1,1,1.75070028,1.75070028,5712
HS00044,Kuwadzana 5,21,0,0,0,0,15700
HS00046,Kuwadzana 2,21,0,0,0,0,5416
HS00047,Kuwadzana 3,21,0,0,0,0,10324
HS00050,Crowborough North,21,0,0,0,0,12808
HS00051,Crowborough North Ext.,21,0,0,0,0,9896
HS00055,Southerton Residential,21,0,0,0,0,10552
HS00056,Warren Park D,21,0,1,0,0.659804698,15156
HS00061,Ushewokunze,21,2,2,0.189200439,0.189200439,105708
HS00064,Lochinvar,21,0,1,0,0.988142292,10120
HS00065,Mufakose,21,0,1,0,0.259551495,38528
HS00093,Borrowdale,21,0,4,0,2.437835202,16408
HS00103,Braeside,21,1,1,0.935278713,0.935278713,10692
HS00104,Caledonia,21,1,2,0.068403196,0.136806392,146192
HS00107,Chisipite,21,2,2,2.074688797,2.074688797,9640
HS00114,Dzivaresekwa 4,21,1,1,3.521126761,3.521126761,2840
HS00118,Dzivaresekwa Ext,21,0,2,0,0.565418975,35372
HS00119,Eastlea,21,1,1,0.914745701,0.914745701,10932
HS00123,Glen Lorne,21,0,0,0,0,19684
HS00124,Glenwood,21,0,1,0,2.306273063,4336
HS00137,Hatcliffe Consortium,21,0,0,0,0,29108
HS00138,Hatcliffe 1,21,0,1,0,1.03777501,9636
HS00140,Hatfield,21,0,0,0,0,38996
HS00144,Hopely,21,3,4,0.376034094,0.501378792,79780
HS00156,Monavale,21,2,2,4.125412541,4.125412541,4848
HS00157,New Mabvuku,21,0,0,0,0,26852
HS00159,Mabvuku (Undeveloped),21,0,0,0,0,40
